Title,IMDB rating,IMDB votes,Genres,Audience Score,Critic Score,Critics Reviews,Audience Reviews,Streaming Platforms
It Chapter Two,6.5,302186,"Drama, Fantasy, Horror",78%,62%,381 Reviews,"25,000+ Verified Ratings","vudu, amazon-prime-video-us"
The Lord of the Rings: The Rings of Power,7,352331,"Action, Adventure, Drama, Fantasy",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Get Out,7.8,697492,"Horror, Mystery, Thriller",86%,98%,403 Reviews,"50,000+ Ratings","peacock, vudu, amazon-prime-video-us"
Saw X,6.6,74296,"Horror, Mystery, Thriller",89%,80%,149 Reviews,"1,000+ Verified Ratings","vudu, amazon-prime-video-us"
Imaginary,4.7,9485,"Horror, Mystery, Thriller",56%,24%,100 Reviews,250+ Verified Ratings,"fandango, vudu, amazon-prime-video-us"
The Mummy,7.1,461385,"Action, Adventure, Fantasy",75%,61%,103 Reviews,"250,000+ Ratings","fandango, peacock, vudu, amazon-prime-video-us"
A Haunting in Ravenwood,5.6,67,Horror,,,Reviews,,vudu
Exhuma,7.1,4532,"Horror, Mystery, Thriller",93%,87%,23 Reviews,100+ Ratings,
Scream,7.4,388656,"Horror, Mystery",82%,76%,301 Reviews,"2,500+ Verified Ratings","vudu, amazon-prime-video-us, hulu, paramount-plus-us"
Skal: Fight for Survival,3.1,122,Thriller,,,Reviews,,amazon-prime-video-us
It,7.3,606634,"Fantasy, Horror",,,Reviews,,
Meg 2: The Trench,5,78580,"Action, Adventure, Horror, Sci-Fi, Thriller",73%,27%,183 Reviews,"1,000+ Verified Ratings","vudu, amazon-prime-video-us, max-us, netflix"
Mercy Falls,4.1,594,"Horror, Thriller",,63%,8 Reviews,,
The Hunt,8.3,364593,Drama,,,Reviews,,
Evil Dead II,7.7,181998,"Comedy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
A Quiet Place,7.5,583937,"Drama, Horror, Sci-Fi",83%,96%,385 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us, paramount-plus-us"
Hypochondriac,5.1,970,"Drama, Horror, Thriller",55%,84%,45 Reviews,50+ Ratings,vudu
The New Mutants,5.3,89595,"Action, Horror, Mystery, Sci-Fi",56%,36%,139 Reviews,"2,500+ Verified Ratings","vudu, amazon-prime-video-us, disney-plus-us"
Hellraiser,6.9,140610,"Horror, Thriller",73%,70%,53 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
The OctoGames,3.4,930,"Action, Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Brightburn,6.1,107887,"Drama, Horror, Mystery, Sci-Fi",67%,57%,208 Reviews,"2,500+ Verified Ratings","vudu, amazon-prime-video-us"
Jigsaw,5.7,92309,"Horror, Mystery, Thriller",,,Reviews,,
Ready or Not,6.9,182664,"Action, Comedy, Horror, Mystery, Thriller",,,Reviews,,
The Woman Under the Stage,6,489,"Drama, Horror",82%,100%,6 Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Psycho,8.5,718662,"Horror, Mystery, Thriller",95%,97%,115 Reviews,"100,000+ Ratings","fandango, vudu, amazon-prime-video-us"
The Mist,7.1,340636,"Horror, Sci-Fi, Thriller",65%,73%,151 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
The Cell,6.4,109136,"Crime, Horror, Sci-Fi, Thriller",,,Reviews,,
Thir13en Ghosts,5.6,93859,"Fantasy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Tarot,5,534,Horror,,,Reviews,,
The Lost Boys,7.2,161265,"Comedy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Conjuring,7.5,555184,"Horror, Mystery, Thriller",83%,86%,228 Reviews,"100,000+ Ratings","fandango, vudu, amazon-prime-video-us, max-us"
Five Nights at Freddy's,5.5,93534,"Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Talk to Me,7.1,143982,"Horror, Thriller",77%,83%,132 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
The 'Burbs,6.8,83559,"Comedy, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Don't Look at the Demon,5.1,462,"Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Alien: Resurrection,6.2,263568,"Action, Horror, Sci-Fi",39%,54%,87 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us, hulu"
Impuratus,4.4,423,"Horror, Mystery",,,Reviews,,"vudu, amazon-prime-video-us"
Cold Meat,5.3,762,Thriller,,92%,12 Reviews,,"vudu, amazon-prime-video-us"
My Mother's Eyes,6,43,"Fantasy, Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Vamp,5.9,7042,"Comedy, Fantasy, Horror",49%,40%,10 Reviews,"2,500+ Ratings","vudu, amazon-prime-video-us"
Psycho II,6.6,31093,"Crime, Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Cloverfield Paradox,5.5,113058,"Action, Horror, Sci-Fi, Thriller",41%,22%,157 Reviews,"5,000+ Ratings",netflix
Pet Sematary,6.5,115094,"Fantasy, Horror, Thriller",60%,55%,38 Reviews,"50,000+ Ratings","fandango, vudu, amazon-prime-video-us, max-us"
Evil Dead Rise,6.5,136957,Horror,76%,84%,233 Reviews,"2,500+ Verified Ratings","fandango, vudu, amazon-prime-video-us, max-us"
The Nun II,5.6,58792,"Horror, Mystery, Thriller",73%,52%,139 Reviews,"1,000+ Verified Ratings","vudu, amazon-prime-video-us, max-us"
The Blair Witch Project,6.5,285741,"Horror, Mystery",57%,86%,171 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Hellraiser,6.9,140610,"Horror, Thriller",73%,70%,53 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
Evil Dead Rise,6.5,136957,Horror,76%,84%,233 Reviews,"2,500+ Verified Ratings","fandango, vudu, amazon-prime-video-us, max-us"
Life,6.6,254041,"Horror, Sci-Fi, Thriller",77%,52%,58 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
Scream VI,6.5,119606,"Horror, Mystery, Thriller",91%,76%,309 Reviews,"5,000+ Verified Ratings","vudu, paramount-plus-us"
The First Purge,5.2,71073,"Action, Horror, Sci-Fi, Thriller",27%,56%,174 Reviews,"2,500+ Ratings","vudu, amazon-prime-video-us, netflix"
The Thing,8.2,466963,"Horror, Mystery, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Hellblazers,4.5,720,"Action, Horror",,,Reviews,,"vudu, amazon-prime-video-us"
Hellboy,6.8,350203,"Action, Adventure, Fantasy, Horror, Sci-Fi",66%,81%,204 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us, hulu"
Scream 4,6.2,171268,"Comedy, Horror, Mystery",57%,60%,190 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, max-us"
The Belko Experiment,6.2,58419,"Horror, Thriller",40%,54%,107 Reviews,"5,000+ Ratings","vudu, amazon-prime-video-us"
Apostle,6.3,59073,"Drama, Fantasy, Horror, Mystery, Thriller",79%,88%,51 Reviews,"5,000+ Ratings","vudu, amazon-prime-video-us"
1922,6.2,71698,"Crime, Drama, Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Ones You Didn't Burn,4.2,345,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Conjuring: The Devil Made Me Do It,6.3,139119,"Horror, Mystery, Thriller",83%,55%,256 Reviews,"1,000+ Verified Ratings","vudu, amazon-prime-video-us, max-us"
Gerald's Game,6.5,127442,"Drama, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Jason X,4.4,61553,"Action, Horror, Sci-Fi, Thriller",25%,20%,107 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
The Black Phone,6.9,194601,"Horror, Mystery, Thriller",88%,82%,266 Reviews,"5,000+ Verified Ratings","vudu, amazon-prime-video-us"
The Pope's Exorcist,6.1,83307,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Resident Alien,8.1,60993,"Comedy, Drama, Mystery, Sci-Fi",72%,,Reviews,500+ Ratings,amazon-prime-video-us
Winnie-the-Pooh: Blood and Honey 2,5.4,2170,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Conjuring 2,7.3,300652,"Horror, Mystery, Thriller",81%,80%,254 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
Scream,7.4,388656,"Horror, Mystery",82%,76%,301 Reviews,"2,500+ Verified Ratings","vudu, amazon-prime-video-us, hulu, paramount-plus-us"
Friday the 13th,6.4,157522,"Horror, Mystery, Thriller",47%,,Reviews,50+ Ratings,
Tusk,5.3,63239,"Comedy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Scouts Guide to the Zombie Apocalypse,6.3,55121,"Action, Comedy, Horror",50%,44%,95 Reviews,"5,000+ Ratings","vudu, amazon-prime-video-us, paramount-plus-us"
Thanksgiving,6.3,49016,"Horror, Mystery, Thriller",,,Reviews,,
Jugaremos en el bosque,,,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Craft,6.4,107775,"Drama, Fantasy, Horror, Thriller",65%,57%,60 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Carrie,7.4,206780,"Horror, Mystery",44%,50%,185 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, max-us"
Doctor Sleep,7.3,218616,"Drama, Fantasy, Horror, Thriller",89%,78%,337 Reviews,"5,000+ Verified Ratings","vudu, amazon-prime-video-us"
Inland Empire,6.8,62204,"Drama, Fantasy, Mystery, Thriller",75%,72%,116 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us, max-us"
Annabelle: Creation,6.5,150947,"Horror, Mystery, Thriller",68%,70%,191 Reviews,"10,000+ Ratings",vudu
Hereditary,7.3,378519,"Drama, Horror, Mystery, Thriller",70%,90%,383 Reviews,"10,000+ Ratings","fandango, vudu, amazon-prime-video-us, max-us"
Overlord,7.7,13729,"Animation, Action, Adventure, Fantasy, Sci-Fi",72%,89%,19 Reviews,"1,000+ Ratings",amazon-prime-video-us
Halloween Ends,5,71347,"Drama, Horror, Mystery, Thriller",57%,40%,264 Reviews,"2,500+ Verified Ratings","vudu, amazon-prime-video-us"
Sleepwalkers,5.3,24584,"Fantasy, Horror",31%,29%,17 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
S.S. Experiment Love Camp,,,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Exorcist: Believer,4.8,39111,Horror,59%,22%,251 Reviews,"1,000+ Verified Ratings","vudu, amazon-prime-video-us"
Freddy vs. Jason,5.7,127321,"Action, Horror",50%,42%,165 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
The Exorcist,8.1,455224,Horror,87%,78%,176 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Shin Godzilla,6.8,36408,"Action, Drama, Horror, Sci-Fi",75%,86%,74 Reviews,"5,000+ Ratings",vudu
Planet Dune,2.4,1038,"Adventure, Horror, Sci-Fi",38%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
It Comes at Night,6.2,103152,"Drama, Horror, Mystery, Sci-Fi, Thriller",44%,88%,257 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us, max-us"
Raw,7,89178,"Drama, Horror",,,Reviews,,"vudu, amazon-prime-video-us"
The Fly,7.6,202026,"Drama, Horror, Sci-Fi",,,Reviews,,
The Howling,6.5,40224,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Child's Play,6.7,116813,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Pet Sematary,6.5,115094,"Fantasy, Horror, Thriller",60%,55%,38 Reviews,"50,000+ Ratings","fandango, vudu, amazon-prime-video-us, max-us"
The Exorcism of Emily Rose,6.7,140101,"Drama, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Resident Evil: Welcome to Raccoon City,5.2,64180,"Action, Horror, Sci-Fi",65%,30%,90 Reviews,250+ Verified Ratings,"vudu, amazon-prime-video-us"
The Last Voyage of the Demeter,6.1,49313,"Fantasy, Horror",75%,49%,193 Reviews,500+ Verified Ratings,"vudu, amazon-prime-video-us, paramount-plus-us"
Gargoyles,8,18555,"Animation, Action, Adventure, Crime, Family, Fantasy, Horror, Mystery, Romance, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Menu,7.2,392850,"Comedy, Horror, Thriller",76%,88%,330 Reviews,"1,000+ Verified Ratings","vudu, amazon-prime-video-us"
The Babysitter,6.4,108265,"Comedy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Emanuelle and the White Slave Trade,4.4,841,"Drama, Horror",18%,,Reviews,50+ Ratings,
"Wrong Turn 5: Bloodlines, Wrong Turn 5 Director's Die-aries",5.9,11,Short,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Constantine,7,374405,"Action, Fantasy, Horror, Mystery",72%,46%,227 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
The Shining,8.4,1107381,"Drama, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Midsommar,7.1,403771,"Drama, Horror, Mystery, Thriller",63%,83%,405 Reviews,"5,000+ Verified Ratings","vudu, amazon-prime-video-us, max-us"
Arcadian,5.7,3212,"Action, Horror, Thriller",55%,84%,89 Reviews,50+ Verified Ratings,"vudu, amazon-prime-video-us"
Anaconda,4.9,112059,"Action, Adventure, Horror, Thriller",24%,41%,56 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us, netflix"
Train to Busan,7.6,258983,"Action, Horror, Thriller",89%,95%,128 Reviews,"10,000+ Ratings","fandango, peacock, vudu, amazon-prime-video-us"
Slender Man,3.3,38415,"Horror, Mystery, Thriller",16%,8%,80 Reviews,"2,500+ Ratings","vudu, amazon-prime-video-us"
When Evil Lurks,7,31478,Horror,79%,97%,118 Reviews,500+ Ratings,"vudu, amazon-prime-video-us, hulu"
Dead Silence,6.1,101895,"Horror, Mystery, Thriller",51%,21%,82 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
Megaboa,2.8,473,"Action, Horror",,,Reviews,,"vudu, amazon-prime-video-us"
Red Water,4.1,3051,"Action, Adventure, Crime, Drama, Horror, Sci-Fi, Thriller",19%,,Reviews,500+ Ratings,
World War Z,7,719803,"Action, Adventure, Horror, Sci-Fi",72%,67%,282 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us, paramount-plus-us"
House of the Dragon,8.4,376952,"Action, Adventure, Drama, Fantasy, Romance",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Black Swan,8,825213,"Drama, Thriller",73%,83%,6 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
Mother!,6.6,249802,"Drama, Horror, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Nightman,5.7,123,Horror,,,Reviews,,
#Blue_Whale,5,257,"Drama, Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Van Helsing,6.1,284733,"Action, Adventure, Fantasy, Thriller",57%,24%,225 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Smile,6.5,161584,"Horror, Mystery, Thriller",,,Reviews,,
Insidious: The Last Key,5.7,71761,"Horror, Mystery, Thriller",50%,33%,112 Reviews,"5,000+ Ratings","vudu, amazon-prime-video-us"
Underworld: Blood Wars,5.7,81053,"Action, Fantasy, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Halloween Kills,5.5,98357,"Action, Drama, Horror, Thriller",66%,39%,278 Reviews,"2,500+ Verified Ratings","vudu, amazon-prime-video-us"
A Haunted House 2,4.7,23438,"Comedy, Fantasy, Horror",43%,8%,39 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
Tremors,7.1,150619,"Comedy, Horror",75%,88%,51 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
Bride of Chucky,5.6,64275,"Comedy, Horror, Thriller",50%,48%,42 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Virus,5,29935,"Action, Horror, Sci-Fi, Thriller",16%,,Reviews,100+ Ratings,amazon-prime-video-us
Zombieland,7.5,621667,"Action, Comedy, Horror",86%,89%,259 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us"
A Quiet Place Part II,7.2,273139,"Drama, Horror, Sci-Fi, Thriller",92%,91%,369 Reviews,"5,000+ Verified Ratings","vudu, amazon-prime-video-us, hulu, paramount-plus-us"
Cult of Chucky,5.3,29786,"Horror, Thriller",61%,81%,26 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
Wishmaster 2: Evil Never Dies,5.1,9599,"Fantasy, Horror",29%,9%,11 Reviews,"5,000+ Ratings","vudu, amazon-prime-video-us"
Contagion of Fear,5.7,51,Thriller,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Saw,7.6,466946,"Horror, Mystery, Thriller",84%,50%,193 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Leave the World Behind,6.5,196574,"Drama, Mystery, Thriller",72%,67%,9 Reviews,100+ Ratings,amazon-prime-video-us
From Dusk Till Dawn,7.2,340803,"Action, Crime, Horror",76%,63%,52 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us, max-us"
Interview with the Vampire,7.2,22307,"Drama, Fantasy, Horror",86%,63%,63 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Terrifier,5.6,52705,"Horror, Thriller",53%,55%,22 Reviews,"1,000+ Ratings","peacock, vudu"
10 Cloverfield Lane,7.2,354958,"Drama, Horror, Mystery, Sci-Fi, Thriller",79%,90%,315 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
Resident Evil: Death Island,5.7,8805,"Animation, Action, Horror",65%,63%,8 Reviews,100+ Ratings,"vudu, amazon-prime-video-us, netflix"
Reign of Chaos,2,584,"Action, Sci-Fi",20%,,Reviews,Fewer than 50 Ratings,amazon-prime-video-us
M3GAN,6.3,142659,"Horror, Sci-Fi, Thriller",78%,93%,315 Reviews,"2,500+ Verified Ratings","peacock, vudu, amazon-prime-video-us"
Fright Night,7.1,78687,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Saw II,6.6,276553,"Horror, Mystery",59%,37%,124 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Orphan,7,252540,"Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Saw III,6.2,212494,"Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Purge,5.7,240141,"Horror, Sci-Fi, Thriller",36%,41%,158 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
The Farm,3.7,4317,Horror,,,Reviews,,
The Purge: Anarchy,6.4,162334,"Action, Horror, Sci-Fi, Thriller",56%,58%,143 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
The Ritual,6.3,119845,"Horror, Mystery, Thriller",,,Reviews,,amazon-prime-video-us
House,8.7,514053,"Drama, Mystery",,20%,5 Reviews,,
White Slave,4.7,2086,"Adventure, Drama, Horror, Romance",14%,,Reviews,Fewer than 50 Ratings,
Child's Play,6.7,116813,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Deep Fear,4.8,14175,"Action, Horror, Thriller",45%,92%,13 Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Stopmotion,5.5,3621,Horror,49%,90%,61 Reviews,100+ Ratings,"vudu, amazon-prime-video-us"
Lisa Frankenstein,6.1,14535,"Comedy, Horror, Romance",81%,51%,193 Reviews,250+ Verified Ratings,"peacock, vudu, amazon-prime-video-us"
Legion,8.1,97263,"Action, Drama, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Scream 3,5.6,164133,"Horror, Mystery",38%,41%,125 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us, max-us"
Nope,6.8,266345,"Horror, Mystery, Sci-Fi, Thriller",69%,83%,470 Reviews,"5,000+ Verified Ratings","peacock, vudu, amazon-prime-video-us"
Dark Angel,7.3,34605,"Action, Drama, Mystery, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Zombieland: Double Tap,6.7,202849,"Action, Comedy, Horror",88%,68%,258 Reviews,"10,000+ Verified Ratings","vudu, amazon-prime-video-us, hulu"
Seed of Chucky,4.9,49901,"Comedy, Horror, Thriller",43%,34%,76 Reviews,"100,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Wrong Turn,6.1,131591,"Horror, Thriller",54%,40%,82 Reviews,"100,000+ Ratings",
Ghost Sweeper Mikami,6.9,159,"Animation, Action, Comedy, Fantasy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Wrong Turn 3: Left for Dead,4.6,28868,"Adventure, Fantasy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Goosebumps 2: Haunted Halloween,5.6,23767,"Adventure, Comedy, Fantasy, Horror",36%,48%,94 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
The Meg,5.7,207664,"Action, Horror, Sci-Fi, Thriller",44%,47%,312 Reviews,"5,000+ Ratings","vudu, amazon-prime-video-us, hulu"
Child's Play 2,5.9,57694,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Mom and Dad,5.6,27393,"Comedy, Horror, Thriller",,,Reviews,,
To Your Last Death,5.8,3860,"Animation, Action, Fantasy, Horror, Thriller",67%,71%,17 Reviews,Fewer than 50 Ratings,amazon-prime-video-us
The Last of Us,8.7,525016,"Action, Adventure, Drama, Horror, Sci-Fi, Thriller",67%,,Reviews,500+ Ratings,
Blade: Trinity,5.8,188369,"Action, Horror, Sci-Fi",58%,24%,167 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Child's Play 3,5.2,46203,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Devil's Advocate,7.5,402121,"Drama, Fantasy, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Chapel,5.8,293,"Drama, Thriller",,,Reviews,,
Beast,5.6,40935,"Action, Adventure, Drama, Horror, Thriller",73%,92%,147 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
Wrong Turn 2: Dead End,5.5,45624,"Adventure, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Jeepers Creepers 2,5.7,70608,Horror,37%,24%,127 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
The Forever Purge,5.4,43486,"Action, Crime, Horror, Thriller, Western",78%,49%,162 Reviews,"1,000+ Verified Ratings","vudu, amazon-prime-video-us"
Titane,6.5,56201,"Drama, Horror, Sci-Fi, Thriller",85%,90%,253 Reviews,50+ Verified Ratings,"vudu, amazon-prime-video-us, hulu"
Texas Chainsaw,4.8,56053,"Horror, Thriller",40%,19%,78 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
Death Note,8.9,378891,"Animation, Crime, Drama, Fantasy, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Dawn of the Dead,7.3,272585,"Action, Horror",77%,76%,195 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Night Swim,4.7,16933,"Horror, Thriller",43%,21%,170 Reviews,500+ Verified Ratings,"peacock, vudu, amazon-prime-video-us"
Annabelle Comes Home,5.9,87163,"Horror, Mystery, Thriller",70%,64%,210 Reviews,"5,000+ Verified Ratings",vudu
Knock Knock,4.9,104580,"Crime, Thriller",25%,,Reviews,250+ Ratings,amazon-prime-video-us
Barbarian,7,181132,"Horror, Mystery, Thriller",,,Reviews,,
